T,mun,plant,sales,freight,revenue,ebitda
0,Acapulco de Juárez,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Imports,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Madero Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Acapulco de Juárez,Tula Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Imports,0.0,0.0,0.0,0.0
0,Aguascalientes,Madero Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes,Tula Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Imports,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Madero Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Aguascalientes_aggregate(10),Tula Refinery,0.0,0.0,0.0,0.0
0,Ahome,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Ahome,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Ahome,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Ahome,Imports,0.0,0.0,0.0,0.0
0,Ahome,Madero Refinery,0.0,0.0,0.0,0.0
0,Ahome,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Ahome,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Ahome,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Ahome,Tula Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Imports,0.0,0.0,0.0,0.0
0,Apodaca,Madero Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Apodaca,Tula Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Imports,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Madero Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Salamanca Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Bahía de Banderas,Tula Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Dos Bocas Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Imports,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Madero Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Minatitlan Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Salamanca Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Salina Cruz Refinery,0.0,0.0,0.0,0.0
0,Baja California Sur_aggregate(5),Tula Refinery,0.0,0.0,0.0,0.0
0,Baja California_aggregate(5),Cadereyta Refinery,0.0,0.0,0.0,0.0
0,Baja California_aggregate(5),Cangrejera Refinery,0.0,0.0,0.0,0.0
0,Baja California_aggregate(5),Dos Bocas Refinery,0.0,0.0,0.0,0.0
